vid,patente
0,zx2922
1,pm8536
2,vc7492
3,ls5992
4,pj5481
5,lx6914
6,eh9187
7,st8633
8,ey2745
9,la5643
10,au5998
11,et5609
12,mo4425
13,by5212
14,eg8528
15,qd4440
16,vx5561
17,vt6220
18,xk7318
19,ww2485
20,hv2199
21,id7819
22,qa2495
23,wf7217
24,bn4195
25,uw2735
26,ef7582
27,ot5458
28,yn4644
29,fs3778
30,vw7522
31,vi4743
32,oj8771
33,oc4762
34,xn4914
35,xp9141
36,ex4705
37,bj4245
38,rh8308
39,yp3858
40,al8743
41,km2551
42,ei5702
43,rj2733
44,yg2900
45,to8113
46,he7029
47,hb3228
48,of5956
49,sg9128
50,go7311
51,pm7495
52,gs7205
53,pu5101
54,vp2429
55,mo4968
56,bi5654
57,yb8271
58,vt2032
59,mu6547
60,iw2489
61,ig9597
62,au6167
63,jd8184
64,rk2324
65,ln6036
66,pz3477
67,gm1638
68,ci3218
69,uh6836
70,qj6353
71,lw4637
72,sl2391
73,pp3724
74,ql4591
75,bf7024
76,qi7769
77,fm3163
78,nx3376
79,xg7925
80,ky2131
81,mw6341
82,fu8868
83,uh1378
84,gt9752
85,ob9598
86,vr7517
87,gf5994
88,hf1544
89,ai2283
90,kc2936
91,mn1612
92,or9516
93,oe1789
94,wd8846
95,mz9845
96,rv9799
97,iv2746
98,tj7818
99,of1501
100,by4314
101,am9504
102,zv9679
103,sv9482
104,ul8619
105,lf8633
106,pr9667
107,mz2239
108,wi9449
109,xg4556
110,hw2014
111,bz3311
112,bb5259
113,wc8293
114,ry9242
115,om4230
116,al1557
