id,ancho,largo,alto,peso
2,26,20,22,0.32
7,33,41,5,0.41
8,17,15,14,0.6
17,44,16,11,0.25
21,14,38,28,0.2
22,43,22,30,0.41
24,27,46,24,0.44
32,47,45,32,0.19
40,18,25,9,0.43
43,38,19,35,0.15
47,47,43,11,0.68
49,9,36,33,0.39
55,11,13,39,0.64
60,6,24,5,0.6
68,40,29,14,0.6
69,11,30,31,0.89
72,6,24,30,0.58
73,22,29,11,0.45
74,5,33,14,0.72
79,26,10,17,0.35
84,16,20,49,0.83
86,13,10,16,0.68
87,9,15,25,0.33
88,24,18,26,0.44
89,38,11,43,0.78
98,31,5,34,0.76
100,15,16,31,0.99
102,33,12,50,0.17
104,17,38,46,0.37
106,25,14,45,0.8
108,18,12,5,0.76
110,38,48,20,0.25
117,26,7,27,0.62
125,12,42,48,0.82
126,38,9,45,0.88
134,47,11,36,0.72
137,41,5,7,0.89
140,45,9,8,0.56
146,40,20,9,0.95
153,39,36,29,0.6
154,36,10,20,0.43
155,12,20,41,0.7
165,35,31,31,0.29
172,44,10,39,0.7
179,46,7,12,0.52
189,7,48,21,0.98
190,7,15,41,0.36
192,23,6,6,0.41
197,46,35,27,0.63
198,33,29,6,0.62
208,22,8,31,0.14
209,27,37,47,0.18
210,46,8,14,0.35
213,12,26,9,0.37
222,19,49,16,0.17
224,7,38,23,0.41
225,44,14,20,0.71
230,8,41,12,0.9
231,35,15,10,0.92
232,33,16,40,0.21
236,42,8,38,0.94
244,21,45,10,0.64
245,49,31,37,0.25
247,35,28,12,0.85
248,22,6,37,0.47
257,39,15,50,0.46
258,35,33,14,0.63
259,43,34,39,0.76
263,8,8,33,0.31
265,9,40,30,0.89
266,36,44,9,0.84
268,43,14,8,0.86
269,14,30,14,0.88
271,47,23,16,0.25
275,34,42,25,0.77
276,41,15,10,0.12
278,16,15,40,0.88
281,42,7,26,0.17
283,15,19,38,0.71
297,20,13,44,0.51
298,7,7,19,0.16
302,26,40,48,0.62
303,7,46,33,0.57
304,26,29,22,0.69
305,22,36,34,0.46
311,28,25,14,0.21
312,43,7,19,0.75
315,40,24,26,0.36
317,44,43,45,0.27
320,34,42,48,0.41
324,39,24,44,0.93
332,6,6,7,0.64
333,16,23,37,0.17
334,40,14,10,0.98
337,25,32,16,0.65
339,21,23,26,0.3
340,48,27,39,0.29
344,9,18,47,0.23
348,18,14,42,0.29
357,26,50,42,0.66
360,37,41,20,0.71
361,32,30,31,0.21
363,38,34,31,0.25
364,8,45,46,0.18
365,6,14,41,0.34
366,45,47,16,0.92
367,32,32,18,0.5
372,20,10,12,0.85
373,11,41,31,0.87
374,5,32,38,0.98
377,35,5,12,0.82
378,26,45,5,0.13
381,41,9,42,0.37
384,22,14,48,0.65
393,22,19,47,0.32
398,19,20,25,0.19
399,42,36,10,0.36
403,41,36,14,0.61
406,9,41,24,0.99
409,24,27,14,0.92
414,12,14,49,0.55
415,45,8,35,0.47
